항목,값,설명
검색 키워드,아로마 오일,Naver Blog Search API에 사용한 검색어
최대 블로그 수집 후보 수,1000,Naver Blog Search API start 범위 기준 최대 후보 수
쇼핑 기반 브랜드 후보 수,201,Naver Shopping API의 brand/maker/mallName 기반 후보 수
수집된 블로그 게시글 수,1000,중복 링크 제거 후 수집된 블로그 후보 수
본문 크롤링 성공 수,993,crawl_status가 ok인 게시글 수
직접 브랜드 후보 수,35,수동 브랜드 사전과 쇼핑 API 기반 브랜드 후보군에서 직접 매칭된 후보 수
상품군 맵핑 후보 수,9,브랜드 직접 추출이 어려울 때 상품군으로 보조 맵핑한 후보 수
브랜드/상품군 미매칭 게시글 수,265,브랜드와 상품군 모두 매칭되지 않은 게시글 수
감정 분석 실행 여부,미실행,RUN_SENTIMENT_ANALYSIS=1일 때만 감정 분석 실행
감정 분석 대상 수,0,감정 분석 결과 파일의 행 수
