구분,항목,게시글 수,비고
수집 요약,수집 글 수,1000.0,중복 링크 제거 후 수집된 게시글 수
수집 요약,본문 크롤링 성공,993.0,crawl_status가 ok인 게시글 수
수집 요약,평균 본문 길이,6915.86,body_length 평균값
브랜드 직접 매칭 결과,네이버,116.0,네이버
브랜드 직접 매칭 결과,알레,60.0,알레
브랜드 직접 매칭 결과,아로마티카,18.0,"Aromatica, aromatica, 아로마티카"
브랜드 직접 매칭 결과,AROMATICA,18.0,AROMATICA
브랜드 직접 매칭 결과,도테라,16.0,"doTERRA, doterra, 도테라, 도테라 오일"
브랜드 직접 매칭 결과,쿠팡,15.0,쿠팡
브랜드 직접 매칭 결과,레노포프,12.0,레노포프
브랜드 직접 매칭 결과,다이소,10.0,다이소
브랜드 직접 매칭 결과,가든데이즈,7.0,가든데이즈
브랜드 직접 매칭 결과,이솝,5.0,"Aesop, aesop, 이솝"
브랜드 직접 매칭 결과,아베다,3.0,아베다
브랜드 직접 매칭 결과,록시땅,3.0,록시땅
브랜드 직접 매칭 결과,세이지,3.0,세이지
브랜드 직접 매칭 결과,나우푸드,2.0,"NOW Foods, now foods, 나우푸드"
브랜드 직접 매칭 결과,올바스,2.0,올바스
브랜드 직접 매칭 결과,르에르베,2.0,르에르베
브랜드 직접 매칭 결과,르에르베코리아,2.0,르에르베코리아
브랜드 직접 매칭 결과,무신사,2.0,무신사
브랜드 직접 매칭 결과,SSG닷컴,2.0,SSG닷컴
브랜드 직접 매칭 결과,바르바라,2.0,바르바라
브랜드 직접 매칭 결과,멜로우버디,2.0,멜로우버디
브랜드 직접 매칭 결과,뭉클,2.0,뭉클
브랜드 직접 매칭 결과,사바사나,2.0,사바사나
브랜드 직접 매칭 결과,프라나롬,1.0,프라나롬
브랜드 직접 매칭 결과,다이소몰,1.0,다이소몰
브랜드 직접 매칭 결과,무인양품,1.0,무인양품
브랜드 직접 매칭 결과,MOWM,1.0,MOWM
브랜드 직접 매칭 결과,JUST,1.0,JUST
브랜드 직접 매칭 결과,보타니컬레메디,1.0,보타니컬레메디
브랜드 직접 매칭 결과,맑을담 오가닉,1.0,맑을담 오가닉
브랜드 직접 매칭 결과,세이프케어,1.0,세이프케어
브랜드 직접 매칭 결과,유어바디,1.0,유어바디
브랜드 직접 매칭 결과,에코문,1.0,에코문
브랜드 직접 매칭 결과,앳네이처,1.0,앳네이처
브랜드 직접 매칭 결과,온가드,1.0,온가드
상품군 맵핑 결과,블렌딩 오일 계열,558.0,"릴렉스, 블렌드, 블렌딩, 수면, 숙면, 스트레스"
상품군 맵핑 결과,라벤더 계열,140.0,"lavender, 라벤더"
상품군 맵핑 결과,레몬 계열,55.0,"lemon, 레몬"
상품군 맵핑 결과,페퍼민트 계열,39.0,"peppermint, 페퍼민트"
상품군 맵핑 결과,오렌지 계열,37.0,"orange, 스위트오렌지, 오렌지"
상품군 맵핑 결과,티트리 계열,33.0,"tea tree, 티트리"
상품군 맵핑 결과,유칼립투스 계열,32.0,"eucalyptus, 유칼립투스"
상품군 맵핑 결과,로즈마리 계열,18.0,"rosemary, 로즈마리"
상품군 맵핑 결과,일랑일랑 계열,15.0,일랑일랑
게시글별 분류,브랜드 직접 매칭,256.0,brand_direct_match
게시글별 분류,브랜드 없음 → 상품군 맵핑,479.0,brand_not_found_product_category_mapping
게시글별 분류,브랜드/상품군 모두 미매칭,265.0,no_brand_or_category_match
감정 분석,감정 분석 대상 수,0.0,기본 설정에서는 감정 분석 미실행
